product_id,name,subcategory,category,start_date,end_date,is_current
FUR-TA-10000687,"Bevis Conference Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10004505,"Nokia Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10002683,"Apple Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
TEC-CO-10002269,"Brother Ink, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10002526,"Sharp Wireless Fax, Digital",Copiers,Technology,2024-05-28,2024-12-31,True
FUR-CH-10002891,"Hon Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-CAN-10001437,"Canon Wireless Fax, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Binders,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10004327,"Motorola Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
OFF-AP-10001621,"Hamilton Beach Refrigerator, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-HOO-10001881,"Hoover Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-CO-10001954,"Brother Wireless Fax, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
FUR-BO-10003282,"Ikea Classic Bookcase, Mobile",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10003102,"Canon Copy Machine, Color",Copiers,Technology,2024-05-28,2024-12-31,True
FUR-TA-10003392,Global Adaptabilities Conference Tables,Tables,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10002552,"Hamilton Beach Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-MOT-10000554,"Motorola Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10003627,"Bevis Conference Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10003515,"Panasonic Printer, Red",Machines,Technology,2024-05-28,2024-12-31,True
OFF-AP-10002904,"Hamilton Beach Refrigerator, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-MOT-10003348,"Motorola Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10001990,"Cisco Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10002898,"Samsung Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-CO-10001633,"Sharp Fax Machine, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-PH-10002623,"Cisco Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10004575,Hon 5100 Series Wood Tables,Tables,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10001498,"Dania Classic Bookcase, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10003598,"Breville Refrigerator, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10001582,"Office Star Executive Leather Armchair, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Machines,Technology,2024-05-28,2024-12-31,True
TEC-PH-10000505,"Apple Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
FUR-BO-10002003,"Sauder Classic Bookcase, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10001775,"Sharp Wireless Fax, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-AP-10000647,"Hoover Refrigerator, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Machines,Technology,2024-05-28,2024-12-31,True
TEC-CO-10001926,"Hewlett Wireless Fax, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-ST-10001496,Standard Rollaway File with Lock,Storage,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10002203,"SAFCO Executive Leather Armchair, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10001934,"Bush Library with Doors, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10000562,"HP Wireless Fax, Digital",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Machines,Technology,2024-05-28,2024-12-31,True
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Binders,Office Supplies,2024-05-28,2024-12-31,True
TEC-CO-10002035,"Canon Wireless Fax, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10004099,"Sharp Fax Machine, Digital",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-PH-10003002,"Cisco Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Copiers,Technology,2024-05-28,2024-12-31,True
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10004398,"Brother Copy Machine, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10004535,"Hewlett Fax Machine, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-AC-10000420,"Belkin Router, USB",Accessories,Technology,2024-05-28,2024-12-31,True
FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10001670,"Motorola Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10004679,"Safco Library with Doors, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10001776,"Hoover Refrigerator, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-MA-10003704,"StarTech Printer, Wireless",Machines,Technology,2024-05-28,2024-12-31,True
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10000984,Okidata MB760 Printer,Machines,Technology,2024-05-28,2024-12-31,True
TEC-AC-10000376,"Memorex Router, Bluetooth",Accessories,Technology,2024-05-28,2024-12-31,True
TEC-CO-10003800,"Hewlett Wireless Fax, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-SAM-10004230,"Samsung Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10002312,"KitchenAid Refrigerator, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10000169,"Apple Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10000595,Safco Contoured Stacking Chairs,Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-AC-10000866,"Belkin Router, Erganomic",Accessories,Technology,2024-05-28,2024-12-31,True
OFF-AP-10001623,"Hoover Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-BO-10003541,"Bush Classic Bookcase, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10004365,"HP Wireless Fax, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Machines,Technology,2024-05-28,2024-12-31,True
TEC-PH-10000800,"Cisco Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-TA-10001642,"Lesro Round Table, Rectangular",Tables,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10001041,"Hoover Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-AP-10002090,"Hamilton Beach Refrigerator, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-AP-10002330,"Hamilton Beach Stove, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-CIS-10002344,"Cisco Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10002153,"Lesro Round Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10004964,"Hoover Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Accessories,Technology,2024-05-28,2024-12-31,True
FUR-CH-10002061,"Harbour Creations Executive Leather Armchair, Red",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10002759,"Cisco Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10001699,"Samsung Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Machines,Technology,2024-05-28,2024-12-31,True
TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,Phones,Technology,2024-05-28,2024-12-31,True
FUR-BO-10000490,"Bush Library with Doors, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10000018,"Nokia Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-HON-10003533,"Hon Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-AC-10001949,"Enermax Router, Bluetooth",Accessories,Technology,2024-05-28,2024-12-31,True
OFF-HOO-10004910,"Hoover Refrigerator, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-MA-10001335,"Epson Printer, Durable",Machines,Technology,2024-05-28,2024-12-31,True
FUR-TA-10000347,"Hon Computer Table, Adjustable Height",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10000493,"Apple Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10003596,"Lesro Computer Table, Adjustable Height",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-TA-10003179,"Lesro Wood Table, Fully Assembled",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10001396,"Nokia Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10003078,"Hon Training Table, Fully Assembled",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-CH-10003581,"Hon Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-TA-10000184,"Barricks Conference Table, Fully Assembled",Tables,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10001956,"Breville Refrigerator, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10002200,Samsung Galaxy Note 2,Phones,Technology,2024-05-28,2024-12-31,True
OFF-AP-10003382,"Breville Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-ST-10002011,Smead Adjustable Mobile File Trolley with Lockable Top,Storage,Office Supplies,2024-05-28,2024-12-31,True
OFF-AP-10003917,"KitchenAid Stove, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-ST-10002900,"Smead Lockers, Wire Frame",Storage,Office Supplies,2024-05-28,2024-12-31,True
TEC-CO-10003819,"Sharp Copy Machine, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-AP-10000675,"Hamilton Beach Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10001824,"Breville Stove, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-SME-10000746,"Smead Lockers, Industrial",Storage,Office Supplies,2024-05-28,2024-12-31,True
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Machines,Technology,2024-05-28,2024-12-31,True
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Storage,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10001578,Polycom SoundStation2 EX Conference phone,Phones,Technology,2024-05-28,2024-12-31,True
TEC-CO-10000208,"Brother Wireless Fax, Color",Copiers,Technology,2024-05-28,2024-12-31,True
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-EPS-10000053,"Epson Receipt Printer, Red",Machines,Technology,2024-05-28,2024-12-31,True
OFF-ST-10004060,"Fellowes Lockers, Blue",Storage,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10000303,"Samsung Smart Phone, VoIP",Phones,Technology,2024-05-28,2024-12-31,True
FUR-BO-10002708,"Dania Library with Doors, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10000210,"Ikea Library with Doors, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10001192,"Bush Library with Doors, Mobile",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-SAU-10002255,"Sauder Classic Bookcase, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-CH-10000974,"Harbour Creations Executive Leather Armchair, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10003866,"Breville Microwave, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10003616,"Novimex Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-CH-10000479,"Harbour Creations Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Copiers,Technology,2024-05-28,2024-12-31,True
OFF-HOO-10000318,"Hoover Microwave, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-NOK-10001283,"Nokia Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
OFF-AP-10000407,"KitchenAid Refrigerator, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Binders,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10002335,Hon GuestStacker Chair,Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Machines,Technology,2024-05-28,2024-12-31,True
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10002444,"Sauder Library with Doors, Mobile",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10004709,"Bush Classic Bookcase, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10004772,"Konica Inkjet, White",Machines,Technology,2024-05-28,2024-12-31,True
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10002911,"Hewlett Wireless Fax, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Tables,Furniture,2024-05-28,2024-12-31,True
FUR-SAU-10004653,"Sauder Classic Bookcase, Traditional",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-NOK-10004339,"Nokia Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10000022,"Hon Conference Table, Adjustable Height",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-CH-10000843,"SAFCO Executive Leather Armchair, Set of Two",Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10002681,"Hamilton Beach Stove, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Accessories,Technology,2024-05-28,2024-12-31,True
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Binders,Office Supplies,2024-05-28,2024-12-31,True
OFF-AP-10004627,"Hamilton Beach Stove, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10001076,"Nokia Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10001457,"Apple Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-MA-10004534,"Konica Printer, Wireless",Machines,Technology,2024-05-28,2024-12-31,True
FUR-BO-10003991,"Bush Classic Bookcase, Traditional",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10002793,"KitchenAid Stove, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10002093,"Harbour Creations Rocking Chair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10003103,"Ikea Classic Bookcase, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-CO-10001818,"Sharp Wireless Fax, Digital",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10002040,"Brother Fax Machine, Digital",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10001654,"Hewlett Wireless Fax, Digital",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-AP-10002397,"Breville Microwave, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-CAN-10001853,"Canon Fax Machine, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
FUR-CH-10001207,"Hon Executive Leather Armchair, Red",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10002597,"Apple Signal Booster, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
TEC-CO-10002617,"Brother Fax Machine, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10000556,"HP Wireless Fax, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-HEW-10003460,"Hewlett Fax and Copier, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-PH-10002672,"Cisco Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10000106,"Apple Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Copiers,Technology,2024-05-28,2024-12-31,True
TEC-SAM-10000345,"Samsung Audio Dock, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
TEC-CIS-10002259,"Cisco Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
OFF-AP-10004350,"KitchenAid Refrigerator, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-HOO-10000335,"Hoover Microwave, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-BO-10004129,"Sauder Classic Bookcase, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-ST-10004597,"Rogers File Cart, Blue",Storage,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10001664,"Novimex Swivel Stool, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10003240,"Breville Stove, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-TA-10000136,"Chromcraft Conference Table, Adjustable Height",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-BO-10002866,"Safco Classic Bookcase, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-ST-10004459,Tennsco Single-Tier Lockers,Storage,Office Supplies,2024-05-28,2024-12-31,True
FUR-TA-10001276,"Lesro Coffee Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
